id,name,description,price,image_url,stock,category,product_details,how_to_use
1,Dragonfly Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",119.0,images/Necklaces/N1.jpg,25,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
2,Lotus Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",125.0,images/Necklaces/N2.jpg,31,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
3,Heart Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",108.0,images/Necklaces/N3.jpg,26,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
4,Tulip Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",112.0,images/Necklaces/N4.jpg,16,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
5,Fern Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",109.0,images/Necklaces/N5.jpg,30,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
6,Magnolia Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",121.0,images/Necklaces/N6.jpg,29,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
7,Four Leaf Clover Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",120.0,images/Necklaces/N7.jpg,17,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
8,Star Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",128.0,images/Necklaces/N8.jpg,25,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
9,Lavender Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",125.0,images/Necklaces/N9.jpg,12,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
10,Rose Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",118.0,images/Necklaces/N10.jpg,28,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
11,Peony Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",125.0,images/Necklaces/N11.jpg,18,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
12,Jasmine Essential Oil Necklaces,"Lava Stones, 24 Inch Chain",115.0,images/Necklaces/N12.jpg,23,necklace,Pendant: 2 cm; Chain: 24 inches; Material: Stainless Steel; Includes: 3 lava stones,"Open the locket, add 1-3 drops of essential oil onto the lava stone, wait a minute, then close it."
13,Filigree Essential Oil Earrings,Width 14 millimeters,68.0,images/Earrings/E1.jpg,22,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
14,Star Essential Oil Earrings,Width 14 millimeters,98.0,images/Earrings/E2.jpg,31,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
15,Flower Essential Oil Earrings,Width 14 millimeters,88.0,images/Earrings/E3.jpg,26,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
16,Pansy Essential Oil Earrings,Width 14 millimeters,83.0,images/Earrings/E4.jpg,17,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
17,Cherry Blossom Essential Oil Earrings,Width 14 millimeters,70.0,images/Earrings/E5.jpg,13,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
18,Daisy Essential Oil Earrings,Width 14 millimeters,73.0,images/Earrings/E6.jpg,17,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
19,Jasmine Essential Oil Earrings,Width 14 millimeters,71.0,images/Earrings/E7.jpg,16,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
20,Snowflake Essential Oil Earrings,Width 12 millimeters,89.0,images/Earrings/E8.jpg,22,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
21,Tulip Essential Oil Earrings,Width 14 millimeters,81.0,images/Earrings/E9.jpg,26,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
22,Four Leaf Clover Essential Oil Earrings,Width 14 millimeters,78.0,images/Earrings/E10.jpg,12,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
23,Lavender Essential Oil Earrings,Width 12 millimeters,92.0,images/Earrings/E11.jpg,26,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
24,Peony Essential Oil Earrings,Width 12 millimeters,92.0,images/Earrings/E12.jpg,19,earrings,Lightweight design; Material: Alloy + Lava Stone; Includes: 3 lava stones,"Apply a small amount of essential oil onto the lava stone, let it absorb, then wear."
25,Clouds Essential Oil Bracelet,25mm Diffuser Locket,38.0,images/Bracelets/B1.jpg,25,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
26,Flower Essential Oil Bracelet,25mm Diffuser Locket,28.99,images/Bracelets/B2.jpg,18,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
27,Tree Essential Oil Bracelet,25mm Diffuser Locket,29.99,images/Bracelets/B3.jpg,27,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
28,Ivy Essential Oil Bracelet,25mm Diffuser Locket,38.0,images/Bracelets/B4.jpg,15,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
29,Butterfly Essential Oil Bracelet,25mm Diffuser Locket,30.99,images/Bracelets/B5.jpg,15,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
30,Pansy Essential Oil Bracelet,25mm Diffuser Locket,32.99,images/Bracelets/B6.jpg,26,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
31,Peony Essential Oil Bracelet,25mm Diffuser Locket,38.99,images/Bracelets/B7.jpg,19,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
32,Star Essential Oil Bracelet,25mm Diffuser Locket,39.99,images/Bracelets/B8.jpg,22,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
33,Tulip Essential Oil Bracelet,25mm Diffuser Locket,38.99,images/Bracelets/B9.jpg,13,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
34,Jasmine Essential Oil Bracelet,25mm Diffuser Locket,38.0,images/Bracelets/B10.jpg,13,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
35,Lily Essential Oil Bracelet,25mm Diffuser Locket,28.99,images/Bracelets/B11.jpg,19,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
36,Rose Essential Oil Bracelet,25mm Diffuser Locket,31.99,images/Bracelets/B12.jpg,24,bracelet,Material: 316L Stainless Steel; Adjustable Size; Includes: 8 felt pads,"Add 3-4 drops of essential oil onto the pad, insert into the locket, and enjoy fragrance without skin contact."
37,Lotus Essential Oil,10ml Lotus Aroma,12.99,images/Essential Oil/Es1.jpg,28,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
38,Tulip Essential Oil,10ml Tulip Aroma,12.99,images/Essential Oil/Es2.jpg,19,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
39,Magnolia Essential Oil,10ml Magnolia Aroma,12.99,images/Essential Oil/Es3.jpg,20,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
40,Orchid Essential Oil,10ml Orchid Aroma,12.99,images/Essential Oil/Es4.jpg,14,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
41,Lavender Essential Oil,10ml Lavender Aroma,12.99,images/Essential Oil/Es5.jpg,25,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
42,Rose Essential Oil,10ml Rose  Aroma,12.99,images/Essential Oil/Es6.jpg,22,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
43,Peony Essential Oil,10ml Peony Aroma,12.99,images/Essential Oil/Es7.jpg,22,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
44,Jasmine Essential Oil,10ml Jasmine Aroma,12.99,images/Essential Oil/Es8.jpg,10,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
45,Pansy Essential Oil,10ml Pansy Aroma,12.99,images/Essential Oil/Es9.jpg,22,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
46,Cherry Blossom Essential Oil,10ml Cherry Blossom Aroma,12.99,images/Essential Oil/Es10.jpg,16,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
47,Daisy Essential Oil,10ml Daisy Aroma,12.99,images/Essential Oil/Es11.jpg,18,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
48,Lily Essential Oil,10ml Lily Aroma,12.99,images/Essential Oil/Es12.jpg,32,essential oil,Size: 10 ml; Type: Essential Oil; Suitable for diffuser jewelry and aromatherapy use,"Add 1-3 drops to a lava stone or felt pad in your diffuser jewelry, then let it absorb before wearing."
49,Replacement Lava Stones,Lava Stones for Diffuser Jewelry (6 pcs),6.99,images/Essential Oil/Ac1.jpg,46,accessory,Material: Natural Lava Stone; Includes: 6 replacement lava stones; Suitable for diffuser necklaces and earrings,"Add 1-3 drops of essential oil directly onto a lava stone, let it absorb, then place it into your diffuser jewelry."
50,Replacement Felt Pads,Color Felt Pads for Diffuser Bracelet (8 pcs),4.99,images/Essential Oil/Ac2.jpg,38,accessory,Material: Soft Felt Pads; Includes: 8 replacement pads; Suitable for diffuser bracelets and lockets,"Add 3-4 drops of essential oil onto the felt pad, let it absorb, then insert it into your diffuser jewelry."
