id,user_id,total_amount,status,created_at,updated_at,stripe_session_id,stripe_payment_intent_id,payment_status,paid_at
1,1,156.99,paid,2026-04-01 10:00:00,2026-04-01 10:05:00,cs_test_1,pi_test_1,paid,2026-04-01 10:00:00
2,2,164.99,shipped,2026-04-01 11:30:00,2026-04-02 09:00:00,cs_test_2,pi_test_2,paid,2026-04-01 11:30:00
3,3,39.99,pending,2026-04-02 12:00:00,2026-04-02 12:00:00,NULL,NULL,unpaid,NULL
4,4,127.96,paid,2026-04-02 15:00:00,2026-04-02 15:10:00,cs_test_4,pi_test_4,paid,2026-04-02 15:00:00
5,5,125.00,cancelled,2026-04-03 09:00:00,2026-04-03 09:30:00,NULL,NULL,unpaid,NULL
6,6,38.00,shipped,2026-04-03 13:00:00,2026-04-04 10:00:00,cs_test_6,pi_test_6,paid,2026-04-03 13:00:00
7,7,250.00,paid,2026-04-04 17:00:00,2026-04-04 17:05:00,cs_test_7,pi_test_7,paid,2026-04-04 17:00:00
8,8,38.00,pending,2026-04-05 10:00:00,2026-04-05 10:00:00,NULL,NULL,unpaid,NULL
9,9,404.97,shipped,2026-04-05 14:30:00,2026-04-06 08:45:00,cs_test_9,pi_test_9,paid,2026-04-05 14:30:00
10,10,25.98,paid,2026-04-06 18:30:00,2026-04-06 18:35:00,cs_test_10,pi_test_10,paid,2026-04-06 18:30:00
